textLoadingClassname 2;textLoadingClassname 3;css-8uhtka;css-8uhtka 2;css-8uhtka 3;textLoadingClassname 4;textLoadingClassname 5
2 rooms • 70 m² • Apartment;Kreuzstrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 5,500.-;CHF 943 / m² / year
1 room • 74 m² • Apartment;In Gassen, 8001 Zürich;Modern kitchen amenities;Sunny balcony space;Prime city location;CHF 8,000.-;CHF 1,297 / m² / year
27 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Modern design throughout;Central location in Zürich;Spacious balcony with views;CHF 2,782.-;CHF 1,236 / m² / year
28 m² • Apartment;Binzmühlestrasse, 8050 Zürich;Modern kitchen with balcony;Bright living area with views;Close to public transport;CHF 3,960.-;CHF 1,697 / m² / year
2 rooms • 79 m² • Apartment;Birmensdorferstrasse, 8055 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 3,691.-;CHF 561 / m² / year
1 room • 54 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Bright living area;Modern kitchen design;Close to public transport;CHF 4,066.-;CHF 904 / m² / year
2 rooms • 85 m² • Apartment;Dahliastrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 5,690.-;CHF 803 / m² / year
2 rooms • 90 m² • Apartment;Geranienstrasse, 8008 Zürich;Bright and airy living space;Modern kitchen with balcony;Prime location near amenities;CHF 8,141.-;CHF 1,085 / m² / year
1 room • 60 m² • Apartment;Eidmattstrasse, 8032 Zürich;Modern kitchen with balcony;Bright living area with views;Close to public transport;CHF 6,413.-;CHF 1,283 / m² / year
18 m² • Apartment;Schaffhauserstrasse, 8050 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 1,980.-;CHF 1,320 / m² / year
20 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 2,400.-;CHF 1,440 / m² / year
2 rooms • 66 m² • Apartment;Binzmühlestrasse, 8050 Zürich;Stylish open-plan layout;Sunny balcony with views;Prime location near amenities;CHF 8,652.-;CHF 1,573 / m² / year
1 room • 60 m² • Apartment;Baurstrasse, 8008 Zürich;Modern design throughout;Central location in Zürich;Stunning city views;CHF 8,915.-;CHF 1,783 / m² / year
1 room • 50 m² • Apartment;Gubelstrasse, 8050 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 3,250.-;CHF 780 / m² / year
1 room • 30 m² • Apartment;Schaffhauserstrasse, 8052 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 2,950.-;CHF 1,180 / m² / year
24 m² • Apartment;Forchstrasse, 8008 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near transport;CHF 2,300.-;CHF 1,150 / m² / year
23 m² • Apartment;Forchstrasse, 8008 Zürich;Spacious balcony with views;Modern kitchen with island;Bright living area with light;CHF 2,407.-;CHF 1,256 / m² / year
23 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,461.-;CHF 1,284 / m² / year
1 room • 48 m² • Apartment;Kanzleistrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 6,345.-;CHF 1,586 / m² / year
1 room • 40 m² • Apartment;Kanzleistrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 5,598.-;CHF 1,679 / m² / year
1 room • 40 m² • Apartment;Eidmattstrasse, 8032 Zürich;Spacious balcony with view;Stylish open-plan layout;Prime location in Zürich;CHF 5,973.-;CHF 1,792 / m² / year
1 room • 40 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 5,599.-;CHF 1,680 / m² / year
1 room • 50 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 5,973.-;CHF 1,434 / m² / year
20 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,193.-;CHF 1,316 / m² / year
18 m² • Apartment;Forchstrasse, 8008 Zürich;Modern design throughout;Spacious balcony view;Prime location in Zürich;CHF 2,407.-;CHF 1,605 / m² / year
2 rooms • 72 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern design throughout;Prime location in Zürich;Spacious balcony with views;CHF 3,800.-;CHF 633 / m² / year
1 room • 60 m² • Apartment;Badenerstrasse, 8004 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near transport;CHF 3,300.-;CHF 660 / m² / year
2 rooms • 115 m² • Apartment;Gotthelfstrasse, 8003 Zürich;Modern kitchen with balcony;Bright living area;Prime location in Zürich;CHF 9,228.-;CHF 963 / m² / year
1 room • 60 m² • Apartment;Nordstrasse, 8006 Zürich;Modern design throughout;Spacious balcony view;Prime city location;CHF 4,200.-;CHF 840 / m² / year
3 rooms • 70 m² • Apartment;Universitätstrasse, 8006 Zürich;Prime location near university;Modern amenities throughout;Spacious balcony with views;CHF 5,000.-;CHF 857 / m² / year
1 room • 83 m² • Apartment;Dahliastrasse, 8008 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 5,690.-;CHF 823 / m² / year
26 m² • Apartment;Baslerstrasse, 8048 Zürich;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 4,604.-;CHF 2,125 / m² / year
1 room • 60 m² • Apartment;Nordstrasse, 8006 Zürich;Modern kitchen with balcony;Bright living area;Prime city location;CHF 4,200.-;CHF 840 / m² / year
2 rooms • 83 m² • Apartment;Seefeldstrasse, 8008 Zürich;Modern design throughout;Stunning city views;Prime location near lake;CHF 5,890.-;CHF 852 / m² / year
1 room • 23 m² • Apartment;Friesstrasse, 8050 Zürich;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 2,100.-;CHF 1,096 / m² / year
1 room • 26 m² • Apartment;Stauffacherstrasse, 8004 Zürich;Modern design throughout;Central location in Zürich;Spacious balcony with views;CHF 2,889.-;CHF 1,333 / m² / year
18 m² • Apartment;Schwamendingenstrasse, 8050 Zürich;Spacious balcony with view;Bright open living area;Close to public transport;CHF 2,461.-;CHF 1,641 / m² / year
